GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lattices,fr.kbertet.io,Factory,26,53,0,0,6,11,2,5,2,5
lattices,fr.kbertet.io,Serializer,0,66,1,3,0,19,1,7,0,6
lattices,fr.kbertet.lattice.io,ImplicationalSystemWriterText,0,24,1,1,0,10,1,5,0,5
lattices,fr.kbertet.lattice.io,ImplicationalSystemWriterFactory,14,22,0,0,5,5,2,3,2,3
lattices,fr.kbertet.lattice.io,ImplicationalSystemReaderText,0,120,4,18,0,37,4,12,0,5
lattices,fr.kbertet.lattice.io,ArrowRelationWriterTeX,9,238,2,16,1,41,2,12,0,5
lattices,fr.kbertet.lattice.io,ConceptLatticeWriterDot,42,184,6,14,5,37,5,10,0,5
lattices,fr.kbertet.lattice.io,ArrowRelationWriterFactory,14,22,0,0,5,5,2,3,2,3
lattices,fr.kbertet.lattice.io,ConceptLatticeWriterFactory,14,22,0,0,5,5,2,3,2,3
lattices,fr.kbertet.lattice.io,ImplicationalSystemReaderFactory,14,22,0,0,5,5,2,3,2,3
lattices,fr.kbertet.context.io,Burmeister,0,260,0,24,0,60,0,18,0,6
lattices,fr.kbertet.context.io,FIMI,0,155,0,14,0,38,0,13,0,6
lattices,fr.kbertet.context.io,Text,35,134,8,18,7,35,8,11,0,6
lattices,fr.kbertet.context.io,Factory,0,21,0,2,0,12,0,5,0,4
lattices,fr.kbertet.context.io,Csv,0,254,0,36,0,61,0,24,0,6
lattices,fr.kbertet.context,Context,197,2204,48,192,38,456,39,133,3,49
lattices,fr.kbertet.dgraph.io,DGraphWriterFactory,3,33,0,0,2,8,1,4,1,4
lattices,fr.kbertet.dgraph.io,DGraphWriterDot,0,180,1,11,0,33,1,10,0,5
lattices,fr.kbertet.lattice,Rule,0,229,0,16,0,44,0,24,0,16
lattices,fr.kbertet.lattice,Concept,69,950,19,117,17,219,16,82,0,30
lattices,fr.kbertet.lattice,LatticeFactory,0,771,0,82,0,146,0,49,0,8
lattices,fr.kbertet.lattice,BijectiveComponents,286,220,0,14,33,69,1,26,1,19
lattices,fr.kbertet.lattice,Lattice,109,1842,34,188,24,386,31,113,0,33
lattices,fr.kbertet.lattice,ConceptLattice,204,1639,54,204,54,346,47,111,0,29
lattices,fr.kbertet.lattice,ArrowRelation,2,461,4,62,0,94,4,41,0,12
lattices,fr.kbertet.lattice,ClosureSystem,6,451,2,48,1,96,2,30,0,7
lattices,fr.kbertet.lattice,LatticeFactory.Permutation,45,69,7,9,10,16,7,9,3,5
lattices,fr.kbertet.lattice,ImplicationalSystem,165,1561,41,169,44,323,35,116,0,46
lattices,fr.kbertet.dgraph,DGraph.Wells.WellsIterator,4,56,0,4,1,14,1,6,1,4
lattices,fr.kbertet.dgraph,DGraph.Wells,23,32,0,2,6,11,6,5,6,4
lattices,fr.kbertet.dgraph,DGraph.Edges,22,22,0,0,6,6,6,4,6,4
lattices,fr.kbertet.dgraph,DGraph.Edges.EdgesIterator,4,62,0,6,1,15,1,7,1,4
lattices,fr.kbertet.dgraph,Node,10,67,1,5,1,19,1,13,0,11
lattices,fr.kbertet.dgraph,DAGraph,0,612,1,59,0,127,1,44,0,15
lattices,fr.kbertet.dgraph,Edge,12,103,0,10,1,25,1,15,1,10
lattices,fr.kbertet.dgraph,DGraph.Sinks.SinksIterator,4,56,0,4,1,14,1,6,1,4
lattices,fr.kbertet.dgraph,DGraph.Sinks,23,32,0,2,6,11,6,5,6,4
lattices,fr.kbertet.dgraph,DGraph,57,1634,22,154,12,322,20,119,1,50
lattices,fr.kbertet.util,ComparableSet,0,134,0,20,0,37,0,17,0,7
lattices,fr.kbertet.util,Couple,20,41,2,2,1,12,3,7,1,7
